step,elapsed_minutes,score,best_so_far,tps,p95_latency_ms,phase
0,0.0,275.11810584958215,275.11810584958215,,,baseline
1,3.268356,388.952,388.952,5834.28,15.0,db
2,6.536567,388.10266666666666,388.952,5821.54,15.0,db
3,9.528802,397.47861507128306,397.47861507128306,5854.86,14.73,db
4,12.215493,390.49733333333336,397.47861507128306,5857.46,15.0,db
5,15.159677,380.63064833005893,397.47861507128306,5812.23,15.27,db
6,18.016234,389.48266666666666,397.47861507128306,5842.24,15.0,db
7,21.190961,388.20466666666664,397.47861507128306,5823.07,15.0,os_sysctl
8,23.614812,378.9751146037983,397.47861507128306,5786.95,15.27,os_sysctl
9,26.055941,387.38666666666666,397.47861507128306,5810.8,15.0,os_control
