step,elapsed_minutes,score,best_so_far,tps,p95_latency_ms,phase
0,0.0,34.827,34.827,,,baseline
1,2.494067,44.705812574139976,44.705812574139976,1507.48,33.72,db
2,5.613518,355.50884582982314,355.50884582982314,4219.89,11.87,db
3,8.88456,446.921129503408,446.921129503408,4589.88,10.27,db
4,11.734121,470.4510595358224,470.4510595358224,4662.17,9.91,db
5,14.752398,467.6025768087215,470.4510595358224,4718.11,10.09,db
6,17.364911,462.36769078295345,470.4510595358224,4665.29,10.09,db
7,19.808555,452.14118792599805,470.4510595358224,4643.49,10.27,db
8,22.226833,460.9712586719524,470.4510595358224,4651.2,10.09,os_sysctl
9,24.500379,459.89197224975226,470.4510595358224,4640.31,10.09,os_sysctl
