# AgenticDB State Snapshot

captured_at	2026-05-15T16:59:12
round_id	7
phase	db
dbms	mysql
db_version	8.0.45-0ubuntu0.24.04.1
workload	sysbench_readwrite

## Candidate Knob Values

activate_all_roles_on_login	False
auto_increment_increment	1
auto_increment_offset	1
autocommit	True
automatic_sp_privileges	True
avoid_temporal_upgrade	False
back_log	151
big_tables	False
binlog_cache_size	1048576
binlog_checksum	NONE
binlog_direct_non_transactional_updates	False
binlog_encryption	False
binlog_error_action	ABORT_SERVER
binlog_expire_logs_auto_purge	True
binlog_expire_logs_seconds	2592000
binlog_format	ROW
binlog_group_commit_sync_delay	0
binlog_group_commit_sync_no_delay_count	0
binlog_max_flush_queue_time	0
binlog_order_commits	False
binlog_row_image	MINIMAL
binlog_row_metadata	MINIMAL
binlog_row_value_options	
binlog_rows_query_log_events	False
binlog_stmt_cache_size	1048576
binlog_transaction_compression	False
binlog_transaction_compression_level_zstd	3
binlog_transaction_dependency_history_size	25000
binlog_transaction_dependency_tracking	COMMIT_ORDER
block_encryption_mode	aes-128-ecb
bulk_insert_buffer_size	8388608
completion_type	NO_CHAIN
concurrent_insert	AUTO
connect_timeout	10
connection_memory_chunk_size	8192
connection_memory_limit	18446744073709551615
cte_max_recursion_depth	1000
default_password_lifetime	0
default_storage_engine	InnoDB
default_table_encryption	False
default_tmp_storage_engine	InnoDB
default_week_format	0
delay_key_write	True
delayed_insert_limit	100
delayed_insert_timeout	300
delayed_queue_size	1000
div_precision_increment	4
end_markers_in_json	False
enforce_gtid_consistency	False
eq_range_index_dive_limit	200
event_scheduler	True
expire_logs_days	0
explain_format	TRADITIONAL
flush	False
flush_time	0
foreign_key_checks	True
ft_boolean_syntax	+ -><()~*:""&|
generated_random_password_length	20
global_connection_memory_limit	18446744073709551615
global_connection_memory_tracking	False
group_concat_max_len	1024
histogram_generation_max_mem_size	20000000
host_cache_size	279
information_schema_stats_expiry	86400
init_connect	
innodb_adaptive_flushing	True
innodb_adaptive_flushing_lwm	0
innodb_adaptive_hash_index	True
innodb_adaptive_hash_index_parts	16
innodb_adaptive_max_sleep_delay	150000
innodb_api_bk_commit_interval	5
innodb_api_trx_level	0
innodb_autoextend_increment	64
innodb_autoinc_lock_mode	2
innodb_buffer_pool_chunk_size	134217728
innodb_buffer_pool_dump_at_shutdown	True
innodb_buffer_pool_dump_now	False
innodb_buffer_pool_dump_pct	25
innodb_buffer_pool_filename	ib_buffer_pool
innodb_buffer_pool_instances	8
innodb_buffer_pool_load_abort	False
innodb_buffer_pool_load_now	False
innodb_buffer_pool_size	34359738368
innodb_change_buffer_max_size	50
innodb_change_buffering	all
innodb_checksum_algorithm	crc32
innodb_cmp_per_index_enabled	False
innodb_commit_concurrency	0
innodb_compression_failure_threshold_pct	5
innodb_compression_level	6
innodb_compression_pad_pct_max	50
innodb_concurrency_tickets	5000
innodb_ddl_buffer_size	1048576
innodb_ddl_threads	4
innodb_deadlock_detect	True
innodb_default_row_format	dynamic
innodb_disable_sort_file_cache	False
innodb_doublewrite	False
innodb_doublewrite_batch_size	0
innodb_doublewrite_files	0
innodb_doublewrite_pages	0
innodb_extend_and_initialize	True
innodb_fast_shutdown	1
innodb_file_per_table	True
innodb_fill_factor	100
innodb_flush_log_at_timeout	1
innodb_flush_log_at_trx_commit	0
innodb_flush_method	O_DIRECT_NO_FSYNC
innodb_flush_neighbors	0
innodb_flush_sync	False
innodb_flushing_avg_loops	30
innodb_fsync_threshold	0
innodb_ft_aux_table	
innodb_ft_cache_size	8000000
innodb_ft_enable_diag_print	False
innodb_ft_enable_stopword	True
innodb_ft_num_word_optimize	2000
innodb_ft_result_cache_limit	2000000000
innodb_ft_server_stopword_table	
innodb_ft_sort_pll_degree	2
innodb_ft_total_cache_size	640000000
innodb_ft_user_stopword_table	
innodb_idle_flush_pct	100
innodb_io_capacity	12000
innodb_io_capacity_max	24000
innodb_lock_wait_timeout	50
innodb_log_buffer_size	268435456
innodb_log_checksums	False
innodb_log_compressed_pages	True
innodb_log_file_size	50331648
innodb_log_files_in_group	2
innodb_log_spin_cpu_abs_lwm	80
innodb_log_spin_cpu_pct_hwm	50
innodb_log_wait_for_flush_spin_hwm	400
innodb_log_write_ahead_size	8192
innodb_log_writer_threads	True
innodb_lru_scan_depth	1024
innodb_max_dirty_pages_pct	80.0
innodb_max_dirty_pages_pct_lwm	0.0
innodb_max_purge_lag	0
innodb_max_purge_lag_delay	0
innodb_max_undo_log_size	1073741824
innodb_monitor_enable	
innodb_numa_interleave	False
innodb_old_blocks_pct	37
innodb_old_blocks_time	1000
innodb_online_alter_log_max_size	134217728
innodb_open_files	8000
innodb_optimize_fulltext_only	False
innodb_page_cleaners	8
innodb_parallel_read_threads	4
innodb_print_all_deadlocks	False
innodb_print_ddl_logs	False
innodb_purge_batch_size	300
innodb_purge_rseg_truncate_frequency	128
innodb_purge_threads	4
innodb_random_read_ahead	False
innodb_read_ahead_threshold	56
innodb_read_io_threads	8
innodb_redo_log_archive_dirs	
innodb_redo_log_capacity	17179869184
innodb_redo_log_encrypt	False
innodb_replication_delay	0
innodb_rollback_segments	128
innodb_segment_reserve_factor	12.5
innodb_sort_buffer_size	1048576
innodb_spin_wait_delay	6
innodb_spin_wait_pause_multiplier	50
innodb_stats_auto_recalc	True
innodb_stats_include_delete_marked	False
innodb_stats_method	nulls_equal
innodb_stats_on_metadata	False
innodb_stats_persistent	True
innodb_stats_persistent_sample_pages	20
innodb_stats_transient_sample_pages	8
innodb_status_output	False
innodb_status_output_locks	False
innodb_strict_mode	True
innodb_sync_array_size	32
innodb_sync_spin_loops	30
innodb_table_locks	True
innodb_thread_concurrency	0
innodb_thread_sleep_delay	10000
innodb_tmpdir	
innodb_undo_log_encrypt	False
innodb_undo_log_truncate	True
innodb_undo_tablespaces	2
innodb_use_fdatasync	False
innodb_use_native_aio	True
innodb_write_io_threads	8
interactive_timeout	28800
internal_tmp_mem_storage_engine	TempTable
join_buffer_size	262144
keep_files_on_create	False
key_buffer_size	16777216
key_cache_age_threshold	300
key_cache_block_size	1024
key_cache_division_limit	100
lc_messages	en_US
lc_time_names	en_US
lock_wait_timeout	31536000
log_bin_trust_function_creators	False
log_bin_use_v1_row_events	False
log_error_services	log_filter_internal; log_sink_internal
log_error_suppression_list	
log_error_verbosity	2
log_queries_not_using_indexes	False
log_slow_admin_statements	False
log_slow_extra	False
log_statements_unsafe_for_binlog	True
log_throttle_queries_not_using_indexes	0
long_query_time	10.0
low_priority_updates	False
mandatory_roles	
max_allowed_packet	67108864
max_binlog_cache_size	18446744073709547520
max_binlog_size	104857600
max_binlog_stmt_cache_size	18446744073709547520
max_connect_errors	100
max_connections	151
max_delayed_threads	20
max_digest_length	1024
max_error_count	1024
max_execution_time	0
max_heap_table_size	16777216
max_insert_delayed_threads	20
max_join_size	18446744073709551615
max_length_for_sort_data	4096
max_points_in_geometry	65536
max_prepared_stmt_count	65535
max_relay_log_size	0
max_seeks_for_key	18446744073709551615
max_sort_length	1024
max_sp_recursion_depth	0
max_user_connections	0
max_write_lock_count	18446744073709551615
min_examined_row_limit	0
mysql_native_password_proxy_users	False
net_buffer_length	16384
net_read_timeout	30
net_retry_count	10
net_write_timeout	60
new	False
offline_mode	False
open_files_limit	10000
optimizer_max_subgraph_pairs	100000
optimizer_prune_level	1
optimizer_search_depth	62
