step,elapsed_minutes,score,best_so_far,tps,p95_latency_ms,phase
0,0.0,60.80105750165234,60.80105750165234,,,baseline
1,3.756222,2565.304518664047,2565.304518664047,13057.4,5.09,db
2,7.195739,4817.827380952381,4817.827380952381,16187.9,3.36,db
3,10.607372,5681.255892255893,5681.255892255893,16873.33,2.97,db
4,13.989081,5784.223367697594,5784.223367697594,16832.09,2.91,db
5,17.475644,5543.990066225165,5784.223367697594,16742.85,3.02,db
6,18.571542,5784.223367697594,5784.223367697594,,,db
7,22.171374,5279.544615384615,5784.223367697594,17158.52,3.25,db
8,25.380801,5109.587878787879,5784.223367697594,16861.64,3.3,os_sysctl
9,27.735481,6967.333333333334,6967.333333333334,18184.74,2.61,os_sysctl
10,30.275531,7171.910505836577,7171.910505836577,18431.81,2.57,os_sysctl
11,32.565352,7059.429118773947,7171.910505836577,18425.11,2.61,os_sysctl
12,35.157642,7129.513618677042,7171.910505836577,18322.85,2.57,os_control
