step,elapsed_minutes,score,best_so_far,tps,p95_latency_ms,phase
0,0.0,271792.0,271792.0,,,baseline
1,5.036473,174787.0,174787.0,0.28125,3092.3323333333333,db
2,10.584246,182786.0,174787.0,0.2647058823529412,3006.0201666666667,db
3,15.492591,172887.0,172887.0,0.28125,3282.56756,db
4,22.993404,169756.0,169756.0,0.2903225806451613,3234.35564,db
5,27.287329,168769.0,169756.0,0.2903225806451613,3074.7443461538464,db
6,32.15153,176768.0,169756.0,0.28125,3269.11916,db
7,37.032208,169765.0,169756.0,0.2903225806451613,3096.857423076923,db
8,38.267655,169756.0,169756.0,,,os_sysctl
9,42.406187,169755.0,169756.0,0.2903225806451613,3089.799038461538,os_sysctl
10,46.783007,165769.0,165769.0,0.2903225806451613,3193.41736,os_control
11,50.878274,165752.0,165769.0,0.2903225806451613,3199.72352,os_control
