step,elapsed_minutes,score,best_so_far,tps,p95_latency_ms,phase
0,0.0,985.110452564092,985.110452564092,,,baseline
1,3.71509,18732.90665001561,18732.90665001561,10000.25,0.5338333333333333,db
2,5.77727,18732.90665001561,18732.90665001561,,,db
3,8.935352,16863.85609893198,18732.90665001561,10000.266666666666,0.5930000000000001,db
4,12.029871,17825.757575757572,18732.90665001561,10000.25,0.561,db
5,14.657091,19060.228716645488,19060.228716645488,10000.266666666666,0.5246666666666667,db
6,17.439619,18100.0,19060.228716645488,10000.25,0.5525,db
7,20.300181,18957.756714060033,19060.228716645488,10000.216666666667,0.5275,db
8,23.970102,18773.936170212764,19060.228716645488,10000.25,0.5326666666666667,db
9,27.274234,19262.15088282504,19262.15088282504,10000.266666666666,0.5191666666666667,os_sysctl
10,29.715788,17432.103428239396,19262.15088282504,10000.216666666667,0.5736666666666667,os_sysctl
11,36.683975,17429.77487291213,19262.15088282504,10000.333333333334,0.57375,os_control
