step,elapsed_minutes,score,best_so_far,tps,p95_latency_ms,phase
0,0.0,461.242,461.242,,,baseline
1,2.559658,451.43870967741935,461.242,6297.57,13.95,db
2,4.785547,791.9617590822179,791.9617590822179,8283.92,10.46,db
3,7.440707,774.1502347417841,791.9617590822179,8244.7,10.65,db
4,10.162812,1060.7262693156733,1060.7262693156733,9610.18,9.06,db
5,12.378009,1083.6033707865167,1083.6033707865167,9644.07,8.9,db
6,14.456229,1076.191011235955,1083.6033707865167,9578.1,8.9,db
7,16.60699,1032.5932754880694,1083.6033707865167,9520.51,9.22,db
8,19.042027,1078.7988764044942,1083.6033707865167,9601.31,8.9,db
9,20.812903,1081.9258426966292,1083.6033707865167,9629.14,8.9,os_sysctl
10,22.490576,1077.655056179775,1083.6033707865167,9591.13,8.9,os_sysctl
