round_id,timestamp,phase,decision,action_type,changed_keys,score,primary_metric_name,primary_metric_value,tps,p95_latency_ms,audit_action,exploration_mode,auditor_next_phase,next_step,if_failed_next,reason
1,2026-05-16T00:13:11.579466,db,rollback,db_config,"compute_query_id,effective_cache_size,effective_io_concurrency,jit,jit_expressions,jit_tuple_deforming,maintenance_work_mem,max_parallel_workers,max_parallel_workers_per_gather,max_worker_processes,random_page_cost,shared_buffers,temp_buffers,update_process_title,work_mem",451.43870967741935,tps,6297.57,6297.57,13.95,continue_db,normal,db,如果本轮提升或 p95 明显下降，下一轮沿内存与并行边界细调：比较 shared_buffers 24GB vs 12GB，并验证 max_parallel_workers_per_gather=0 是否优于 1，同时微调 random_page_cost 1.0-1.5。,如果本轮回退，优先怀疑 shared_buffers 过大导致重启后填充噪声或禁用 parallel 伤害 range 查询；下一轮避免同时改变太多 CPU/parallel knobs，回退 max_parallel_workers_per_gather 到 1 或 2，并尝试 shared_buffers 8GB/12GB、保留 jit=off 的拆分验证。,"Score did not improve enough: incumbent=461.242, candidate=451.439."
2,2026-05-16T00:15:25.132817,db,accepted,db_config,"compute_query_id,effective_cache_size,effective_io_concurrency,jit,jit_expressions,jit_tuple_deforming,max_parallel_workers_per_gather,random_page_cost,ssl,update_process_title,work_mem",791.9617590822179,tps,8283.92,8283.92,10.46,continue_db,normal,db,如果本轮成功或接近成功，下一轮保留 ssl=false 和短查询开销关闭项，分别细调 max_parallel_workers_per_gather=2 vs 1、random_page_cost 1.3-2.0，并尝试重启型 shared_buffers=8GB 或 12GB，而不要回到上一轮的 16GB+parallel=0 组合。,如果本轮回退，优先判断是否由 ssl=false 连接/安全策略或 max_parallel_workers_per_gather=1 引起；下一轮应回退 ssl=true 或 parallel_gather=2 做拆分验证，同时保留 jit=false/update_process_title=false/compute_query_id=off 的小组合，避免再次同时修改 shared_buffers 和并行策略。,Score improved from 461.242 to 791.962 (71.70%).
3,2026-05-16T00:18:04.442393,db,rollback,db_config,"autovacuum,compute_query_id,effective_cache_size,effective_io_concurrency,jit,jit_expressions,jit_tuple_deforming,max_parallel_workers_per_gather,random_page_cost,ssl,stats_fetch_consistency,track_activities,track_counts,update_process_title,work_mem",774.1502347417841,tps,8244.7,8244.7,10.65,continue_db,benchmark_max,db,如果本轮成功或接近成功，下一轮保留 ssl=false/jit=false/update_process_title=false/compute_query_id=off，并分别拆分验证 track_activities=false 与 track_counts=false/autovacuum=false 的贡献；随后再在该最佳基础上细调 random_page_cost 1.2-1.4、effective_io_concurrency 128-192，或单独测试 max_parallel_workers_per_gather=2。,如果本轮回退，优先回退 track_activities=true、track_counts=true、autovacuum=true，避免继续沿关闭统计/维护路径；保留第 2 轮最佳配置，然后改做较保守的 split test：只测试 max_parallel_workers_per_gather=2 或只测试 random_page_cost=1.7/2.0，不要重复第 1 轮的 16GB shared_buffers + parallel=0 + random_page_cost=1.1 组合。,"Score did not improve enough: incumbent=791.962, candidate=774.150."
4,2026-05-16T00:20:47.768746,db,accepted,db_config,"autovacuum,compute_query_id,effective_cache_size,effective_io_concurrency,jit,jit_expressions,jit_tuple_deforming,max_parallel_workers_per_gather,plan_cache_mode,random_page_cost,ssl,stats_fetch_consistency,temp_buffers,track_activities,track_counts,track_io_timing,update_process_title,work_mem",1060.7262693156733,tps,9610.18,9610.18,9.06,continue_db,normal,db,如果本轮成功或接近当前最佳，下一轮保留 plan_cache_mode=force_generic_plan 与第 2 轮最佳组合，再单独测试 max_parallel_workers_per_gather=2；如果 p95 继续下降，也可随后测试 random_page_cost=1.7 或小 shared_buffers=4GB 重启路线。,如果本轮回退，立即把 plan_cache_mode 恢复为 auto，并不要把 force_generic_plan 与其他变化叠加；下一轮按第 3 轮 if_failed_next 做保守 split test：只测试 max_parallel_workers_per_gather=2 或只测试 random_page_cost=1.7/2.0，继续避免 track_activities=false、track_counts=false、autovacuum=false 以及 16GB shared_buffers + parallel=0 组合。,Score improved from 791.962 to 1060.726 (33.94%).
5,2026-05-16T00:23:00.680526,db,accepted,db_config,"autovacuum,compute_query_id,effective_cache_size,effective_io_concurrency,jit,jit_expressions,jit_tuple_deforming,max_parallel_workers,max_parallel_workers_per_gather,plan_cache_mode,random_page_cost,ssl,stats_fetch_consistency,temp_buffers,track_activities,track_counts,track_io_timing,update_process_title,work_mem",1083.6033707865167,tps,9644.07,9644.07,8.9,continue_db,conservative,db,如果本轮成功或接近当前最佳，保留 force_generic_plan，并在 max_parallel_workers_per_gather=2 基础上再小步测试 random_page_cost=1.7 或 parallel_setup_cost/parallel_tuple_cost 的轻微下调；如果 p95 下降但 TPS 不升，可考虑把 max_parallel_workers 提到 10/12 做受控验证。,如果本轮回退，把 max_parallel_workers_per_gather 恢复为 1，不再继续加大 per-query parallelism；下一轮优先测试 random_page_cost=1.7（保持 effective_io_concurrency=128 和 force_generic_plan），或走重启型小 shared_buffers=4GB + max_connections=90 路线。继续避免 track_activities=false、track_counts=false、autovacuum=false，以及第 1 轮失败的 16GB shared_buffers + parallel=0 + random_page_cost=1.1 组合。,Score improved from 1060.726 to 1083.603 (2.16%).
6,2026-05-16T00:25:05.373718,db,rollback,db_config,"autovacuum,compute_query_id,effective_cache_size,effective_io_concurrency,jit,jit_expressions,jit_tuple_deforming,max_parallel_workers,max_parallel_workers_per_gather,plan_cache_mode,random_page_cost,ssl,stats_fetch_consistency,temp_buffers,track_activities,track_counts,track_io_timing,update_process_title,work_mem",1076.191011235955,tps,9578.1,9578.1,8.9,continue_db,conservative,db,如果本轮成功或接近当前最佳，继续继承 force_generic_plan、ppg=2、random_page_cost=1.7，下一轮可小步测试 random_page_cost=1.9/2.0，或在 rpc=1.7 基础上走温和重启型 shared_buffers=4GB + max_connections=90 组合。若 p95 改善但 TPS 不升，再考虑仅把 max_parallel_workers 从 8 提到 10 做受控验证。,如果本轮回退，把 random_page_cost 恢复到 1.5，并避免继续升高 planner random cost；下一轮优先走已多次记录但未验证的重启型小缓存/连接预算路线：shared_buffers=4GB、max_connections=90，保留 force_generic_plan、ssl=false、jit=false、effective_io_concurrency=128、max_parallel_workers_per_gather=2 和统计/auto vacuum 正常开启。继续避免 track_activities=false、track_counts=false、autovacuum=false，以及 16GB shared_buffers + parallel=0 + random_page_cost=1.1 的失败组合。,"Score did not improve enough: incumbent=1083.603, candidate=1076.191."
7,2026-05-16T00:27:14.419406,db,rollback,db_config,"autovacuum,compute_query_id,effective_cache_size,effective_io_concurrency,jit,jit_expressions,jit_tuple_deforming,max_connections,max_parallel_workers,max_parallel_workers_per_gather,max_worker_processes,plan_cache_mode,random_page_cost,shared_buffers,ssl,stats_fetch_consistency,temp_buffers,track_activities,track_counts,track_io_timing,update_process_title,work_mem",1032.5932754880694,tps,9520.51,9520.51,9.22,continue_db,aggressive,db,如果本轮成功或接近当前最佳，继续沿静态缓存/连接预算细调：比较 shared_buffers=8GB vs 4GB，或把 max_connections 从 90 进一步试到 80；若 TPS 提升但 p95 不降，再小步测试 max_worker_processes=10、max_parallel_workers=10 且 ppg=2。,如果本轮回退，优先判断 shared_buffers=4GB 或 max_connections=90 是否负贡献：下一轮回到 shared_buffers=128MB、max_connections=100 的第5轮最佳配置，不再立刻尝试更大的 8GB/16GB shared_buffers；改做 reload-only 的并行成本小探针，例如 parallel_setup_cost 500 或 parallel_tuple_cost 0.05，保持 random_page_cost=1.5、eio=128、force_generic_plan、ppg=2。继续避免 random_page_cost=1.7/2.0、关闭 track_counts/track_activities/autovacuum，以及 16GB shared_buffers + parallel=0 + rpc=1.1。,"Score did not improve enough: incumbent=1083.603, candidate=1032.593."
8,2026-05-16T00:29:40.521632,db,rollback,db_config,"autovacuum,compute_query_id,effective_cache_size,effective_io_concurrency,jit,jit_expressions,jit_tuple_deforming,max_parallel_workers,max_parallel_workers_per_gather,parallel_setup_cost,parallel_tuple_cost,plan_cache_mode,random_page_cost,ssl,stats_fetch_consistency,temp_buffers,track_activities,track_counts,track_io_timing,update_process_title,work_mem",1078.7988764044942,tps,9601.31,9601.31,8.9,continue_db,normal,db,如果本轮成功或接近当前最佳，继续沿并行成本细调：比较 parallel_setup_cost=250/750 或 parallel_tuple_cost=0.03/0.08；若 p95 明显下降但 TPS 不升，再考虑重启型小步把 max_worker_processes/max_parallel_workers 提到 10，仍保持 shared_buffers=128MB、random_page_cost=1.5、force_generic_plan。,如果本轮回退，恢复 parallel_setup_cost=1000、parallel_tuple_cost=0.1，并避免继续降低并行成本；下一轮不要再尝试 shared_buffers=4GB/8GB/16GB，也不要重复 random_page_cost=1.7 或关闭 track_counts/track_activities/autovacuum。替代方向优先做一个静态隔离测试：仅把 max_connections 从 100 降到 80 或 90，保持 shared_buffers=128MB 和第5轮最佳其他参数，用来分离第7轮失败中 shared_buffers 与连接预算的影响；或者做 reload-only random_page_cost=1.4 的小探针。,"Score did not improve enough: incumbent=1083.603, candidate=1078.799."
9,2026-05-16T00:31:26.774188,os_sysctl,rollback,os_config,"kernel.sched_autogroup_enabled,vm.swappiness,vm.vfs_cache_pressure",1081.9258426966292,tps,9629.14,9629.14,8.9,switch_to_os_sysctl,conservative,os_sysctl,如果本轮成功或接近最佳，下一轮保持 kernel.sched_autogroup_enabled=0，并做 sysctl 小步拆分：比较 vm.vfs_cache_pressure=25/75 或 swappiness=0/10，优先只改一个 memory-reclaim knob 以分离贡献；若 p95 明显改善，再考虑是否进入 os_control 验证 THP defrag=never/khugepaged.defrag=0。,如果本轮回退，优先恢复 kernel.sched_autogroup_enabled=1，并把 vm.swappiness/vfs_cache_pressure 回到默认或单独只保留 swappiness=1 做拆分；不要继续扩大 dirty_ratio、网络 backlog 或 aio/file handle，因为 read-only state 没有这些瓶颈证据。下一轮可改用 repeat_benchmark 确认噪声，或在 os_sysctl 内单独测试 kernel.sched_autogroup_enabled=0 之外的 vm.swappiness=1。,"Score did not improve enough: incumbent=1083.603, candidate=1081.926."
10,2026-05-16T00:33:07.434555,os_sysctl,rollback,os_config,kernel.sched_autogroup_enabled,1077.655056179775,tps,9591.13,9591.13,8.9,continue_os_sysctl,conservative,os_sysctl,如果本轮成功或非常接近最佳，保留 kernel.sched_autogroup_enabled=0，再做单变量内存回收拆分：优先测试 vm.swappiness=1 或 0，暂不同时改 vfs_cache_pressure；若连续两轮 p95/TPS 接近但未稳定超过，可 repeat_benchmark 确认噪声。,如果本轮回退，恢复 kernel.sched_autogroup_enabled=1，不再继续沿 autogroup 方向叠加 vm.swappiness/vfs_cache_pressure。下一轮在 os_sysctl 内只测试 vm.swappiness=1 单项，或直接建议进入 os_control 验证 transparent_hugepage.defrag=never、khugepaged.defrag=0；继续避免 dirty_ratio、网络 backlog、aio/file handle 这类无状态证据的方向。,"Score did not improve enough: incumbent=1083.603, candidate=1077.655."
