step,elapsed_minutes,score,best_so_far,tps,p95_latency_ms,phase
0,0.0,921.61,921.61,,,baseline
1,1.848965,921.61,921.61,,,db
2,3.836985,11645.481981981982,11645.481981981982,25852.97,2.22,db
3,6.369708,14008.950738916257,14008.950738916257,28438.17,2.03,db
4,9.690976,11905.158878504673,14008.950738916257,25477.04,2.14,db
5,12.573606,14918.813471502592,14918.813471502592,28793.31,1.93,db
6,15.589975,10972.261061946905,14918.813471502592,24797.31,2.26,db
7,18.096496,14686.99481865285,14918.813471502592,28345.9,1.93,db
8,20.560403,14665.917098445598,14918.813471502592,28305.22,1.93,db
9,22.757384,13834.505,14918.813471502592,27669.01,2.0,os_sysctl
10,24.724324,15724.66129032258,15724.66129032258,29247.87,1.86,os_sysctl
11,26.464132,15465.830687830688,15724.66129032258,29230.42,1.89,os_sysctl
