round_id,timestamp,phase,decision,action_type,changed_keys,score,primary_metric_name,primary_metric_value,tps,p95_latency_ms,audit_action,exploration_mode,auditor_next_phase,next_step,if_failed_next,reason
1,2026-05-16T00:41:32.937891,db,rejected,db_config,"autovacuum,bgwriter_delay,bgwriter_flush_after,bgwriter_lru_maxpages,bgwriter_lru_multiplier,checkpoint_completion_target,checkpoint_flush_after,checkpoint_timeout,compute_query_id,effective_cache_size,full_page_writes,hot_standby,jit,log_checkpoints,max_connections,max_logical_replication_workers,max_parallel_workers,max_parallel_workers_per_gather,max_replication_slots,max_wal_senders,max_wal_size,min_wal_size,shared_buffers,ssl,synchronous_commit,temp_buffers,track_activities,track_counts,update_process_title,wal_buffers,wal_init_zero,wal_level,wal_writer_delay,wal_writer_flush_after,work_mem",,,,,,continue_db,benchmark_max,db,如果本轮 tps/p95 明显提升，下一轮沿着同一最佳配置细调：优先比较 shared_buffers=16GB vs 8GB、max_wal_size=32GB、bgwriter_lru_maxpages 500/1500、wal_writer_delay 20/200ms，并观察 buffers_backend、checkpoints_req、wal_sync 和 p95 是否继续下降。,如果本轮回退，避免重复这个全量 benchmark_max 组合；下一轮改用较保守拆分：保留 shared_buffers/wal_buffers/max_wal_size/checkpoint_timeout/bgwriter 增强，但恢复 full_page_writes=on、track_counts=on、track_activities=on、autovacuum=on，且 max_connections 回到 100，以判断回退是否来自 crash-safety/观测/autovacuum 关闭或 shared_buffers 冷启动。,"Blocked unsafe DB knob(s): max_logical_replication_workers, max_replication_slots"
2,2026-05-16T00:43:32.219079,db,accepted,db_config,"autovacuum,bgwriter_delay,bgwriter_flush_after,bgwriter_lru_maxpages,bgwriter_lru_multiplier,checkpoint_completion_target,checkpoint_flush_after,checkpoint_timeout,compute_query_id,effective_cache_size,full_page_writes,hot_standby,jit,log_checkpoints,max_connections,max_parallel_workers,max_parallel_workers_per_gather,max_wal_senders,max_wal_size,min_wal_size,shared_buffers,ssl,synchronous_commit,temp_buffers,track_activities,track_counts,update_process_title,wal_buffers,wal_init_zero,wal_level,wal_writer_delay,wal_writer_flush_after,work_mem",11645.481981981982,tps,25852.97,25852.97,2.22,continue_db,benchmark_max,db,如果本轮成功或接近成功，下一轮优先在已接受配置上细调：比较 shared_buffers=16GB vs 8GB、max_wal_size=32GB、bgwriter_lru_maxpages=500/1500、wal_writer_delay=20/200ms；同时观察 checkpoints_req、buffers_backend、wal_fpi、wal_sync、p95 是否继续下降。,如果本轮回退，不要再重复该 benchmark_max 组合；下一轮改为保守拆分：保留 shared_buffers=8GB、wal_buffers=64MB、max_wal_size=24GB、checkpoint_timeout=30min、bgwriter 增强，但恢复 full_page_writes=true、track_counts=true、track_activities=true、autovacuum=true，并把 max_connections 恢复 100，以判断回退是否来自 crash-safety/观测/autovacuum 关闭或连接预算变化。,Score improved from 921.610 to 11645.482 (1163.60%).
3,2026-05-16T00:46:04.182471,db,accepted,db_config,"autovacuum,backend_flush_after,bgwriter_delay,bgwriter_flush_after,bgwriter_lru_maxpages,bgwriter_lru_multiplier,checkpoint_completion_target,checkpoint_flush_after,checkpoint_timeout,compute_query_id,effective_cache_size,fsync,full_page_writes,hot_standby,jit,log_checkpoints,max_connections,max_parallel_workers,max_parallel_workers_per_gather,max_wal_senders,max_wal_size,min_wal_size,shared_buffers,ssl,synchronous_commit,temp_buffers,track_activities,track_counts,update_process_title,wal_buffers,wal_init_zero,wal_level,wal_writer_delay,wal_writer_flush_after,work_mem",14008.950738916257,tps,28438.17,28438.17,2.03,continue_db,benchmark_max,db,如果本轮成功或接近最好结果，下一轮继续沿当前激进方向细调：优先比较 shared_buffers=24GB vs 16GB、bgwriter_lru_maxpages=3000/1000、wal_writer_delay=50/500ms，并可尝试 max_connections=48 以降低 ProcArray/连接预算开销；重点观察 buffers_backend、evictions、pg_stat_io reads/writes、wal_sync、p95 是否继续下降。,如果本轮回退，不要整体重复这个 fsync=false+16GB+更激进 bgwriter 组合；回到上一轮 accepted best 作为基线后拆分定位：先验证 shared_buffers=16GB 但 fsync=true、bgwriter保持100/1000/4.0；或验证 fsync=false 但 shared_buffers=8GB、bgwriter保持上一轮值。若 p95 因后台 IO 变差，优先回退 bgwriter_delay=100、bgwriter_lru_maxpages=1000、wal_writer_delay=100，而不要回退上一轮已成功的 synchronous_commit=off/full_page_writes=false/wal_level=minimal。,Score improved from 11645.482 to 14008.951 (20.30%).
4,2026-05-16T00:49:23.458544,db,rollback,db_config,"autovacuum,backend_flush_after,bgwriter_delay,bgwriter_flush_after,bgwriter_lru_maxpages,bgwriter_lru_multiplier,checkpoint_completion_target,checkpoint_flush_after,checkpoint_timeout,compute_query_id,effective_cache_size,fsync,full_page_writes,hot_standby,jit,log_checkpoints,max_connections,max_parallel_workers,max_parallel_workers_per_gather,max_wal_senders,max_wal_size,min_wal_size,shared_buffers,ssl,synchronous_commit,temp_buffers,track_activities,track_counts,update_process_title,wal_buffers,wal_init_zero,wal_level,wal_writer_delay,wal_writer_flush_after,work_mem",11905.158878504673,tps,25477.04,25477.04,2.14,continue_db,benchmark_max,db,如果本轮成功或接近当前最好，下一轮继续在两个方向细调：一是比较 shared_buffers=32GB vs 24GB，并观察 reads/evictions 是否继续下降；二是拆分 wal_writer_delay=100/1000ms 与 bgwriter_lru_maxpages=2000/4000，判断 p95 是否受批量写或后台清理影响。若 CPU PSI 仍高，可尝试 max_connections=44 或 plan_cache_mode=force_generic_plan 作为小步 CPU/计划开销测试。,如果本轮回退，不要重复 24GB+max_connections=48+wal_writer_delay=500+bgwriter 3000/6 的组合；回到 round3 最佳基线后拆分定位：先只试 shared_buffers=24GB 且 max_connections=64、wal_writer_delay=200、bgwriter=50/2000/5；若仍回退说明 24GB 冷启动或 OS cache 影响较差。若只因 p95 抖动回退，优先把 wal_writer_delay 恢复200、wal_writer_flush_after恢复32MB，并把 bgwriter_lru_maxpages恢复2000，而保留已成功的 fsync=false、synchronous_commit=off、full_page_writes=false、wal_level=minimal。,"Score did not improve enough: incumbent=14008.951, candidate=11905.159."
5,2026-05-16T00:52:16.416331,db,accepted,db_config,"autovacuum,backend_flush_after,bgwriter_delay,bgwriter_flush_after,bgwriter_lru_maxpages,bgwriter_lru_multiplier,checkpoint_completion_target,checkpoint_flush_after,checkpoint_timeout,compute_query_id,effective_cache_size,fsync,full_page_writes,hot_standby,jit,log_checkpoints,max_connections,max_parallel_workers,max_parallel_workers_per_gather,max_wal_senders,max_wal_size,min_wal_size,shared_buffers,ssl,synchronous_commit,temp_buffers,track_activities,track_counts,update_process_title,wal_buffers,wal_init_zero,wal_level,wal_writer_delay,wal_writer_flush_after,work_mem",14918.813471502592,tps,28793.31,28793.31,1.93,continue_db,benchmark_max,db,如果本轮成功或接近当前最好，下一轮沿中间档内存方向细调：优先比较 shared_buffers=22GB 或 20GB+max_connections=48 的拆分测试；也可在不改 shared_buffers 的情况下单独试 plan_cache_mode=force_generic_plan、join_collapse_limit=1/from_collapse_limit=1 来降低简单 DML 的计划/CPU 开销。继续避免同时加大 wal_writer_delay 和 bgwriter。,如果本轮回退，说明 shared_buffers 超过 16GB 本身可能不适合该无 warmup 60s 短测；下一轮回到 round3 最佳 16GB，不再尝试 20/24/32GB buffer pool。改为 CPU/连接预算小步测试：保持 shared_buffers=16GB、wal_writer_delay=200、bgwriter=50/2000/5，只单独测试 max_connections=48（可配 superuser_reserved_connections=1）或 plan_cache_mode=force_generic_plan，不要重复 round4 的 24GB+48连接+wal_writer500+bgwriter3000/6 组合。,Score improved from 14008.951 to 14918.813 (6.49%).
6,2026-05-16T00:55:17.398514,db,rollback,db_config,"autovacuum,backend_flush_after,bgwriter_delay,bgwriter_flush_after,bgwriter_lru_maxpages,bgwriter_lru_multiplier,checkpoint_completion_target,checkpoint_flush_after,checkpoint_timeout,compute_query_id,effective_cache_size,fsync,full_page_writes,hot_standby,jit,log_checkpoints,max_connections,max_parallel_workers,max_parallel_workers_per_gather,max_wal_senders,max_wal_size,min_wal_size,shared_buffers,ssl,synchronous_commit,temp_buffers,track_activities,track_counts,update_process_title,wal_buffers,wal_init_zero,wal_level,wal_writer_delay,wal_writer_flush_after,work_mem",10972.261061946905,tps,24797.31,24797.31,2.26,continue_db,benchmark_max,db,如果本轮成功或接近当前最好，下一轮继续只做一个维度拆分：优先在 shared_buffers=22GB 上单独测试 max_connections=48 + superuser_reserved_connections=1；若 CPU PSI 仍高且 p95 未降，再单独测试 plan_cache_mode=force_generic_plan、join_collapse_limit=1、from_collapse_limit=1。不要同时改 wal_writer/bgwriter。,如果本轮回退，说明 20GB 可能是当前无 warmup 短测的 buffer pool 甜点；下一轮回到 round5 的 shared_buffers=20GB，不再继续 22/24/32GB 内存方向。改为 CPU/连接预算拆分：保持 20GB、wal_writer=200ms/32MB、bgwriter=50/2000/5，只测试 max_connections=48 + superuser_reserved_connections=1，或只测试 plan_cache_mode=force_generic_plan；避免重复 round4 的 24GB+48连接+wal_writer500+bgwriter3000/6 组合。,"Score did not improve enough: incumbent=14918.813, candidate=10972.261."
7,2026-05-16T00:57:47.789737,db,rollback,db_config,"autovacuum,backend_flush_after,bgwriter_delay,bgwriter_flush_after,bgwriter_lru_maxpages,bgwriter_lru_multiplier,checkpoint_completion_target,checkpoint_flush_after,checkpoint_timeout,compute_query_id,effective_cache_size,fsync,full_page_writes,hot_standby,jit,log_checkpoints,max_connections,max_parallel_workers,max_parallel_workers_per_gather,max_wal_senders,max_wal_size,min_wal_size,shared_buffers,ssl,superuser_reserved_connections,synchronous_commit,temp_buffers,track_activities,track_counts,update_process_title,wal_buffers,wal_init_zero,wal_level,wal_writer_delay,wal_writer_flush_after,work_mem",14686.99481865285,tps,28345.9,28345.9,1.93,continue_db,benchmark_max,db,如果本轮成功或接近当前最好，下一轮继续在 20GB shared_buffers + max_connections=48 的基础上只拆一个 CPU 维度：优先单独测试 plan_cache_mode=force_generic_plan；若仍接近最好，再加 join_collapse_limit=1 和 from_collapse_limit=1。不要同时修改 shared_buffers、wal_writer 或 bgwriter。,如果本轮回退，说明 max_connections=48 单独不适合或连接余量/重启噪声导致回退；下一轮恢复 round5 的 max_connections=64、superuser_reserved_connections=3、shared_buffers=20GB，不再把 48 与 22/24GB 或更激进 wal_writer/bgwriter 混用。随后单独测试 plan_cache_mode=force_generic_plan，或只小幅调整 wal_writer_delay=100/50ms 观察 p95，不要重复 round4 的 24GB+48连接+wal_writer500+bgwriter3000/6 组合。,"Score did not improve enough: incumbent=14918.813, candidate=14686.995."
8,2026-05-16T01:00:15.624193,db,rollback,db_config,"autovacuum,backend_flush_after,bgwriter_delay,bgwriter_flush_after,bgwriter_lru_maxpages,bgwriter_lru_multiplier,checkpoint_completion_target,checkpoint_flush_after,checkpoint_timeout,compute_query_id,effective_cache_size,fsync,full_page_writes,hot_standby,jit,log_checkpoints,max_connections,max_parallel_workers,max_parallel_workers_per_gather,max_wal_senders,max_wal_size,min_wal_size,plan_cache_mode,shared_buffers,ssl,superuser_reserved_connections,synchronous_commit,temp_buffers,track_activities,track_counts,update_process_title,wal_buffers,wal_init_zero,wal_level,wal_writer_delay,wal_writer_flush_after,work_mem",14665.917098445598,tps,28305.22,28305.22,1.93,continue_db,benchmark_max,db,如果本轮成功或接近当前最好，下一轮在同一 20GB shared_buffers + max_connections=64 + plan_cache_mode=force_generic_plan 基础上再单独测试 join_collapse_limit=1 和 from_collapse_limit=1，观察 CPU PSI、TPS 与 p95 是否继续改善；不要同时改 shared_buffers、max_connections、bgwriter 或 wal_writer。,如果本轮回退，恢复 plan_cache_mode=auto，确认 planner/generic plan 不是收益方向；下一轮保持 round5 最佳配置，只小步测试 wal_writer_delay=100ms（保持 wal_writer_flush_after=32MB）或 wal_writer_delay=50ms 来观察 p95/TPS，不要重复 22GB/24GB shared_buffers、max_connections=48 或 round4 的 wal_writer500+bgwriter3000/6 混合组合。,"Score did not improve enough: incumbent=14918.813, candidate=14665.917."
9,2026-05-16T01:02:27.443042,os_sysctl,rollback,os_config,"kernel.sched_autogroup_enabled,vm.dirty_background_ratio,vm.dirty_expire_centisecs,vm.dirty_ratio,vm.dirty_writeback_centisecs,vm.overcommit_memory,vm.swappiness",13834.505,tps,27669.01,27669.01,2.0,switch_to_os_sysctl,benchmark_max,os_sysctl,如果本轮超过或接近当前最好，下一轮继续留在 os_sysctl，拆分验证 dirty 策略的甜点：优先保持 sched_autogroup=0/swappiness=1，只把 vm.dirty_background_ratio 调回 10 或 5、dirty_ratio 保持 40，判断更早后台写回是否能进一步降低 p95；也可单独比较 dirty_writeback_centisecs=1000 vs 3000。,如果本轮明显回退，优先回退过度延迟写回方向：将 vm.dirty_background_ratio 恢复 10、vm.dirty_writeback_centisecs 恢复 500、vm.dirty_expire_centisecs 恢复 3000，保留或单独测试 kernel.sched_autogroup_enabled=0；不要继续提高 dirty 阈值或混入网络/file-handle knobs，因为当前没有对应瓶颈证据。,"Score did not improve enough: incumbent=14918.813, candidate=13834.505."
10,2026-05-16T01:04:25.459415,os_sysctl,accepted,os_config,"kernel.sched_autogroup_enabled,vm.dirty_background_ratio,vm.dirty_expire_centisecs,vm.dirty_ratio,vm.dirty_writeback_centisecs,vm.overcommit_memory,vm.swappiness",15724.66129032258,tps,29247.87,29247.87,1.86,continue_os_sysctl,normal,os_sysctl,如果本轮成功或接近当前最好，下一轮继续在 os_sysctl 内拆分：保留 kernel.sched_autogroup_enabled=0，单独比较 vm.swappiness=60 vs 1 以确认是否真正有贡献；随后可小步测试 vm.dirty_background_ratio=5、dirty_ratio=20、writeback=500，验证更早后台回写是否降低 p95，而不要回到 20/40/3000/6000 的失败组合。,如果本轮回退，说明 sched_autogroup=0 也不是收益方向；下一轮应恢复 kernel.sched_autogroup_enabled=1、vm.swappiness=60，并不要再提高 dirty_ratio 或延长 dirty_writeback/dirty_expire。若 auditor 仍要求 sysctl，可只做一个保守 dirty_background_ratio=5 的单项 probe；否则建议切到 os_control 验证 THP defrag/never 和 block wbt/scheduler。,Score improved from 14918.813 to 15724.661 (5.40%).
